Season,Variable,Value
SPRING,Temp_in,23.75505834
SPRING,Salinity,27.7402879
SPRING,Phosphate,0.54
SPRING,Silicate,157.93
SPRING,NN,7.92
SPRING,pH,7.909
SPRING,TA,2161.48229
SPRING,percent_sgd,20.40439276
SPRING,Temp_in,23.53255956
SPRING,Salinity,30.6119226
SPRING,Phosphate,0.36
SPRING,Silicate,92.59
SPRING,NN,3.37
SPRING,pH,7.965
SPRING,TA,2145.827701
SPRING,percent_sgd,11.9625323
SPRING,Temp_in,22.63449814
SPRING,Salinity,28.37007862
SPRING,Phosphate,0.5
SPRING,Silicate,143.6
SPRING,NN,7.29
SPRING,pH,8.023
SPRING,TA,2272.39081
SPRING,percent_sgd,18.55297158
SPRING,Temp_in,24.01982367
SPRING,Salinity,32.82124424
SPRING,Phosphate,0.25
SPRING,Silicate,42.32
SPRING,NN,0.79
SPRING,pH,7.995
SPRING,TA,2219.583262
SPRING,percent_sgd,5.467700258
SPRING,Temp_in,23.26102354
SPRING,Salinity,29.12292683
SPRING,Phosphate,0.5
SPRING,Silicate,126.47
SPRING,NN,7.45
SPRING,pH,8.005
SPRING,TA,2151.825559
SPRING,percent_sgd,16.33979328
SPRING,Temp_in,24.00516582
SPRING,Salinity,34.0201759
SPRING,Phosphate,0.13
SPRING,Silicate,15.04
SPRING,NN,0.46
SPRING,pH,8.019
SPRING,TA,2216.7581
SPRING,percent_sgd,1.943152455
SPRING,Temp_in,23.72550249
SPRING,Salinity,32.20639623
SPRING,Phosphate,0.28
SPRING,Silicate,56.31
SPRING,NN,1.59
SPRING,pH,8.003
SPRING,TA,2220.335875
SPRING,percent_sgd,7.275193798
SPRING,Temp_in,24.08231046
SPRING,Salinity,33.66594609
SPRING,Phosphate,0.15
SPRING,Silicate,23.1
SPRING,NN,0.34
SPRING,pH,7.978
SPRING,TA,2266.862576
SPRING,percent_sgd,2.984496124
SPRING,Temp_in,24.61700769
SPRING,Salinity,32.66478542
SPRING,Phosphate,0.23
SPRING,Silicate,45.88
SPRING,NN,1.91
SPRING,pH,7.972
SPRING,TA,2189.458388
SPRING,percent_sgd,5.927648579
SPRING,Temp_in,23.8898623
SPRING,Salinity,34.34759675
SPRING,Phosphate,0.11
SPRING,Silicate,7.59
SPRING,NN,0.25
SPRING,pH,7.959
SPRING,TA,2240.714341
SPRING,percent_sgd,0.980620155
SPRING,Temp_in,23.87418146
SPRING,Salinity,34.2073991
SPRING,Phosphate,0.11
SPRING,Silicate,10.78
SPRING,NN,0.26
SPRING,pH,7.953
SPRING,TA,2295.977644
SPRING,percent_sgd,1.392764858
SPRING,Temp_in,23.97824596
SPRING,Salinity,34.00567269
SPRING,Phosphate,0.13
SPRING,Silicate,15.37
SPRING,NN,0.36
SPRING,pH,7.924
SPRING,TA,2212.963581
SPRING,percent_sgd,1.985788114
SPRING,Temp_in,24.10860383
SPRING,Salinity,34.57789008
SPRING,Phosphate,0.09
SPRING,Silicate,2.35
SPRING,NN,0.2
SPRING,pH,7.933
SPRING,TA,2277.045233
SPRING,percent_sgd,0.303617571
SPRING,Temp_in,24.06194201
SPRING,Salinity,34.57832957
SPRING,Phosphate,0.09
SPRING,Silicate,2.34
SPRING,NN,0.19
SPRING,pH,7.989
SPRING,TA,2294.263212
SPRING,percent_sgd,0.302325581
SPRING,Temp_in,23.85659446
SPRING,Salinity,34.57085822
SPRING,Phosphate,0.11
SPRING,Silicate,2.51
SPRING,NN,0.16
SPRING,pH,7.957
SPRING,TA,2309.947719
SPRING,percent_sgd,0.324289406
SPRING,Temp_in,23.87478944
SPRING,Salinity,34.47636764
SPRING,Phosphate,0.09
SPRING,Silicate,4.66
SPRING,NN,0.19
SPRING,pH,7.925
SPRING,TA,2268.419106
SPRING,percent_sgd,0.602067183
SPRING,Temp_in,24.51562606
SPRING,Salinity,34.59942514
SPRING,Phosphate,0.12
SPRING,Silicate,1.86
SPRING,NN,0.26
SPRING,pH,7.997
SPRING,TA,2274.630462
SPRING,percent_sgd,0.240310078
SPRING,Temp_in,24.56946139
SPRING,Salinity,34.581406
SPRING,Phosphate,0.11
SPRING,Silicate,2.27
SPRING,NN,0.2
SPRING,pH,7.986
SPRING,TA,2221.496044
SPRING,percent_sgd,0.293281654
SPRING,Temp_in,24.77369034
SPRING,Salinity,34.60733598
SPRING,Phosphate,0.12
SPRING,Silicate,1.68
SPRING,NN,0.13
SPRING,pH,7.996
SPRING,TA,2263.358534
SPRING,percent_sgd,0.217054264
SPRING,Temp_in,24.97791928
SPRING,Salinity,34.59854616
SPRING,Phosphate,0.12
SPRING,Silicate,1.88
SPRING,NN,0.18
SPRING,pH,7.963
SPRING,TA,2278.298318
SPRING,percent_sgd,0.242894057
SPRING,Salinity,24.83173596
SPRING,Phosphate,1.33
SPRING,Silicate,224.11
SPRING,NN,27.65
SPRING,pH,8.463
SPRING,TA,1862.585914
SPRING,percent_sgd,28.95478036
SPRING,Temp_in,24.43115441
SPRING,Salinity,34.60953343
SPRING,Phosphate,0.12
SPRING,Silicate,1.63
SPRING,NN,0.13
SPRING,pH,7.975
SPRING,TA,2274.315854
SPRING,percent_sgd,0.210594315
SPRING,Temp_in,24.43115441
SPRING,Salinity,34.59459074
SPRING,Phosphate,0.21
SPRING,Silicate,1.97
SPRING,NN,0.2
SPRING,pH,7.933
SPRING,TA,2294.499484
SPRING,percent_sgd,0.254521964
SPRING,pH,8.348
SPRING,TA,2252.358899
SPRING,Temp_in,25.39966468
SPRING,Salinity,34.48867339
SPRING,Phosphate,0.11
SPRING,Silicate,4.38
SPRING,NN,0.28
SPRING,pH,8.094
SPRING,TA,2244.213993
SPRING,percent_sgd,0.565891473
SPRING,Temp_in,25.20243729
SPRING,Salinity,34.49658423
SPRING,Phosphate,0.1
SPRING,Silicate,4.2
SPRING,NN,0.21
SPRING,pH,8.098
SPRING,TA,2264.306252
SPRING,percent_sgd,0.542635659
SPRING,Temp_in,25.33238243
SPRING,Salinity,34.42582616
SPRING,Phosphate,0.12
SPRING,Silicate,5.81
SPRING,NN,0.23
SPRING,pH,8.079
SPRING,TA,2336.320198
SPRING,percent_sgd,0.750645995
SPRING,Temp_in,25.88280725
SPRING,Salinity,34.48076255
SPRING,Phosphate,0.12
SPRING,Silicate,4.56
SPRING,NN,0.24
SPRING,pH,8.063
SPRING,TA,2269.134251
SPRING,percent_sgd,0.589147287
SPRING,Temp_in,25.21517828
SPRING,Salinity,34.54141232
SPRING,Phosphate,0.12
SPRING,Silicate,3.18
SPRING,NN,0.2
SPRING,pH,8.075
SPRING,TA,2273.407056
SPRING,percent_sgd,0.410852713
SPRING,Temp_in,25.44160305
SPRING,Salinity,34.53394097
SPRING,Phosphate,0.12
SPRING,Silicate,3.35
SPRING,NN,0.21
SPRING,pH,8.096
SPRING,TA,2241.211157
SPRING,percent_sgd,0.432816537
SPRING,Temp_in,25.5396418
SPRING,Salinity,34.52603013
SPRING,Phosphate,0.11
SPRING,Silicate,3.53
SPRING,NN,0.22
SPRING,pH,8.077
SPRING,TA,2283.485901
SPRING,percent_sgd,0.456072351
SPRING,Temp_in,25.67325055
SPRING,Salinity,34.52515115
SPRING,Phosphate,0.1
SPRING,Silicate,3.55
SPRING,NN,0.18
SPRING,pH,8.062
SPRING,TA,2265.354907
SPRING,percent_sgd,0.458656331
SPRING,Temp_in,25.30033536
SPRING,Salinity,34.57789008
SPRING,Phosphate,0.11
SPRING,Silicate,2.35
SPRING,NN,0.18
SPRING,pH,8.086
SPRING,TA,2270.401798
SPRING,percent_sgd,0.303617571
SPRING,Temp_in,25.4691375
SPRING,Salinity,34.56426585
SPRING,Phosphate,0.13
SPRING,Silicate,2.66
SPRING,NN,0.16
SPRING,pH,8.089
SPRING,TA,2245.596857
SPRING,percent_sgd,0.343669251
SPRING,Temp_in,25.48436687
SPRING,Salinity,34.5669028
SPRING,Phosphate,0.12
SPRING,Silicate,2.6
SPRING,NN,0.19
SPRING,pH,8.094
SPRING,TA,2259.329722
SPRING,percent_sgd,0.335917313
SPRING,Temp_in,25.57880871
SPRING,Salinity,34.54141232
SPRING,Phosphate,0.11
SPRING,Silicate,3.18
SPRING,NN,0.21
SPRING,pH,8.079
SPRING,TA,2288.464523
SPRING,percent_sgd,0.410852713
SPRING,Temp_in,25.71026052
SPRING,Salinity,34.59898565
SPRING,Phosphate,0.14
SPRING,Silicate,1.87
SPRING,NN,0.19
SPRING,pH,8.088
SPRING,TA,2247.471323
SPRING,percent_sgd,0.241602067
SPRING,Temp_in,25.52240571
SPRING,Salinity,34.60162259
SPRING,Phosphate,0.11
SPRING,Silicate,1.81
SPRING,NN,0.12
SPRING,pH,8.112
SPRING,TA,2235.94711
SPRING,percent_sgd,0.233850129
SPRING,Temp_in,25.54394564
SPRING,Salinity,34.58799837
SPRING,Phosphate,0.12
SPRING,Silicate,2.12
SPRING,NN,0.15
SPRING,pH,8.113
SPRING,TA,2254.568475
SPRING,percent_sgd,0.273901809
SPRING,Temp_in,25.57611959
SPRING,Salinity,34.5915143
SPRING,Phosphate,0.11
SPRING,Silicate,2.04
SPRING,NN,0.12
SPRING,pH,8.118
SPRING,TA,2278.998271
SPRING,percent_sgd,0.263565891
SPRING,Temp_in,25.24803637
SPRING,Salinity,34.60821496
SPRING,Phosphate,0.12
SPRING,Silicate,1.66
SPRING,NN,0.21
SPRING,pH,8.097
SPRING,TA,2263.320386
SPRING,percent_sgd,0.214470284
SPRING,Temp_in,25.31753883
SPRING,Salinity,34.60865445
SPRING,Phosphate,0.11
SPRING,Silicate,1.65
SPRING,NN,0.14
SPRING,pH,8.089
SPRING,TA,2283.21026
SPRING,percent_sgd,0.213178295
SPRING,Temp_in,25.72976343
SPRING,Salinity,34.61173089
SPRING,Phosphate,0.13
SPRING,Silicate,1.58
SPRING,NN,0.14
SPRING,pH,8.053
SPRING,TA,2257.582582
SPRING,percent_sgd,0.204134367
SPRING,Temp_in,26.14198803
SPRING,Salinity,34.60909394
SPRING,Phosphate,0.12
SPRING,Silicate,1.64
SPRING,NN,0.12
SPRING,pH,8.087
SPRING,TA,2259.577353
SPRING,percent_sgd,0.211886305
SPRING,Salinity,34.39989619
SPRING,Phosphate,0.15
SPRING,Silicate,6.4
SPRING,NN,0.35
SPRING,pH,8.287
SPRING,TA,2255.661977
SPRING,percent_sgd,0.826873385
SPRING,Temp_in,24.60358254
SPRING,Salinity,34.62139969
SPRING,Phosphate,0.14
SPRING,Silicate,1.36
SPRING,NN,0.09
SPRING,pH,8.03
SPRING,TA,2278.659129
SPRING,percent_sgd,0.175710594
SPRING,Temp_in,24.60358254
SPRING,Salinity,34.61348885
SPRING,Phosphate,0.18
SPRING,Silicate,1.54
SPRING,NN,0.1
SPRING,pH,8.039
SPRING,TA,2280.792107
SPRING,percent_sgd,0.198966408
SPRING,pH,8.43
SPRING,TA,2270.028889
SPRING,Temp_in,23.68898041
SPRING,Salinity,31.50277101
SPRING,Phosphate,0.31
SPRING,Silicate,72.32
SPRING,NN,2.77
SPRING,pH,7.917
SPRING,TA,2233.751992
SPRING,percent_sgd,9.343669251
SPRING,Temp_in,23.31951534
SPRING,Salinity,32.73334603
SPRING,Phosphate,0.23
SPRING,Silicate,44.32
SPRING,NN,2.34
SPRING,pH,8.01
SPRING,TA,2254.795338
SPRING,percent_sgd,5.726098191
SPRING,Temp_in,23.42893972
SPRING,Salinity,33.12097716
SPRING,Phosphate,0.21
SPRING,Silicate,35.5
SPRING,NN,1.36
SPRING,pH,7.981
SPRING,TA,2257.264212
SPRING,percent_sgd,4.586563307
SPRING,Temp_in,23.76412004
SPRING,Salinity,34.3599025
SPRING,Phosphate,0.08
SPRING,Silicate,7.31
SPRING,NN,0.24
SPRING,pH,7.998
SPRING,TA,2274.697509
SPRING,percent_sgd,0.944444444
SPRING,Temp_in,23.51966167
SPRING,Salinity,32.10970819
SPRING,Phosphate,0.29
SPRING,Silicate,58.51
SPRING,NN,3.47
SPRING,pH,7.993
SPRING,TA,2254.602485
SPRING,percent_sgd,7.559431525
SPRING,Temp_in,23.80725669
SPRING,Salinity,34.35155217
SPRING,Phosphate,0.09
SPRING,Silicate,7.5
SPRING,NN,0.23
SPRING,pH,7.865
SPRING,TA,2300.599272
SPRING,percent_sgd,0.968992248
SPRING,Temp_in,23.74796861
SPRING,Salinity,34.4486797
SPRING,Phosphate,0.07
SPRING,Silicate,5.29
SPRING,NN,0.15
SPRING,pH,7.934
SPRING,TA,2251.863751
SPRING,percent_sgd,0.683462532
SPRING,Temp_in,23.74387241
SPRING,Salinity,34.43769242
SPRING,Phosphate,0.09
SPRING,Silicate,5.54
SPRING,NN,0.18
SPRING,pH,7.97
SPRING,TA,2303.486119
SPRING,percent_sgd,0.715762274
SPRING,Temp_in,24.50343263
SPRING,Salinity,34.48427848
SPRING,Phosphate,0.09
SPRING,Silicate,4.48
SPRING,NN,0.28
SPRING,pH,7.982
SPRING,TA,2250.3368
SPRING,percent_sgd,0.57881137
SPRING,Temp_in,23.9802397
SPRING,Salinity,34.54404926
SPRING,Phosphate,0.09
SPRING,Silicate,3.12
SPRING,NN,0.22
SPRING,pH,7.915
SPRING,TA,2284.103997
SPRING,percent_sgd,0.403100775
SPRING,Temp_in,24.00713255
SPRING,Salinity,34.55327858
SPRING,Phosphate,0.12
SPRING,Silicate,2.91
SPRING,NN,0.25
SPRING,pH,7.933
SPRING,TA,2280.920815
SPRING,percent_sgd,0.375968992
SPRING,Temp_in,23.87550248
SPRING,Salinity,34.56031043
SPRING,Phosphate,0.11
SPRING,Silicate,2.75
SPRING,NN,0.21
SPRING,pH,7.969
SPRING,TA,2227.978151
SPRING,percent_sgd,0.355297158
SPRING,Temp_in,24.31659874
SPRING,Salinity,34.6060175
SPRING,Phosphate,0.13
SPRING,Silicate,1.71
SPRING,NN,0.15
SPRING,pH,7.951
SPRING,TA,2283.721685
SPRING,percent_sgd,0.220930233
SPRING,Temp_in,24.26640693
SPRING,Salinity,34.61304936
SPRING,Phosphate,0.11
SPRING,Silicate,1.55
SPRING,NN,0.19
SPRING,pH,7.95
SPRING,TA,2248.792728
SPRING,percent_sgd,0.200258398
SPRING,Temp_in,24.25437307
SPRING,Salinity,34.6112914
SPRING,Phosphate,0.12
SPRING,Silicate,1.59
SPRING,NN,0.17
SPRING,pH,7.96
SPRING,TA,2281.7078
SPRING,percent_sgd,0.205426357
SPRING,Temp_in,23.89699277
SPRING,Salinity,34.6011831
SPRING,Phosphate,0.11
SPRING,Silicate,1.82
SPRING,NN,0.25
SPRING,pH,7.852
SPRING,TA,2204.133771
SPRING,percent_sgd,0.235142119
SPRING,Temp_in,24.27209963
SPRING,Salinity,34.5915143
SPRING,Phosphate,0.12
SPRING,Silicate,2.04
SPRING,NN,0.18
SPRING,pH,7.973
SPRING,TA,2248.010876
SPRING,percent_sgd,0.263565891
SPRING,Temp_in,24.50119932
SPRING,Salinity,34.61964173
SPRING,Phosphate,0.12
SPRING,Silicate,1.4
SPRING,NN,0.17
SPRING,pH,7.966
SPRING,TA,2304.665708
SPRING,percent_sgd,0.180878553
SPRING,Temp_in,24.76463798
SPRING,Salinity,34.61480733
SPRING,Phosphate,0.13
SPRING,Silicate,1.51
SPRING,NN,0.13
SPRING,pH,7.918
SPRING,TA,2242.05194
SPRING,percent_sgd,0.195090439
SPRING,Temp_in,25.02807664
SPRING,Salinity,34.61173089
SPRING,Phosphate,0.12
SPRING,Silicate,1.58
SPRING,NN,0.13
SPRING,pH,7.893
SPRING,TA,2288.770164
SPRING,percent_sgd,0.204134367
SPRING,Salinity,29.78392141
SPRING,Phosphate,0.49
SPRING,Silicate,111.43
SPRING,NN,6.48
SPRING,pH,8.36
SPRING,TA,2226.798064
SPRING,percent_sgd,14.39664083
SPRING,pH,8.276
SPRING,TA,2264.100058
SPRING,Temp_in,23.84408
SPRING,Salinity,34.50669252
SPRING,Phosphate,0.11
SPRING,Silicate,3.97
SPRING,NN,0.21
SPRING,pH,7.91
SPRING,TA,2317.859168
SPRING,percent_sgd,0.512919897
SPRING,Temp_in,23.55377558
SPRING,Salinity,34.42099176
SPRING,Phosphate,0.08
SPRING,Silicate,5.92
SPRING,NN,0.19
SPRING,pH,7.961
SPRING,TA,2289.427426
SPRING,percent_sgd,0.764857881
SPRING,Temp_in,23.47183421
SPRING,Salinity,34.29002342
SPRING,Phosphate,0.11
SPRING,Silicate,8.9
SPRING,NN,0.44
SPRING,pH,7.957
SPRING,TA,2294.627259
SPRING,percent_sgd,1.149870801
SPRING,Temp_in,23.556481
SPRING,Salinity,34.36561589
SPRING,Phosphate,0.09
SPRING,Silicate,7.18
SPRING,NN,0.17
SPRING,pH,7.845
SPRING,TA,2329.60589
SPRING,percent_sgd,0.927648579
SPRING,Temp_in,23.7800959
SPRING,Salinity,34.53833588
SPRING,Phosphate,0.1
SPRING,Silicate,3.25
SPRING,NN,0.22
SPRING,pH,7.96
SPRING,TA,2289.515865
SPRING,percent_sgd,0.419896641
SPRING,Temp_in,23.82914525
SPRING,Salinity,34.44252682
SPRING,Phosphate,0.11
SPRING,Silicate,5.43
SPRING,NN,0.19
SPRING,pH,7.906
SPRING,TA,2281.618209
SPRING,percent_sgd,0.701550388
SPRING,Temp_in,23.61317188
SPRING,Salinity,34.5176798
SPRING,Phosphate,0.09
SPRING,Silicate,3.72
SPRING,NN,0.16
SPRING,pH,7.908
SPRING,TA,2327.839765
SPRING,percent_sgd,0.480620155
SPRING,Temp_in,23.65293476
SPRING,Salinity,34.45966698
SPRING,Phosphate,0.07
SPRING,Silicate,5.04
SPRING,NN,0.15
SPRING,pH,7.868
SPRING,TA,2284.913361
SPRING,percent_sgd,0.651162791
SPRING,Temp_in,24.05007101
SPRING,Salinity,34.56953975
SPRING,Phosphate,0.12
SPRING,Silicate,2.54
SPRING,NN,0.16
SPRING,pH,7.928
SPRING,TA,2291.859351
SPRING,percent_sgd,0.328165375
SPRING,Temp_in,23.80041662
SPRING,Salinity,34.53130402
SPRING,Phosphate,0.1
SPRING,Silicate,3.41
SPRING,NN,0.16
SPRING,pH,7.931
SPRING,TA,2308.961939
SPRING,percent_sgd,0.440568475
SPRING,Temp_in,23.65167304
SPRING,Salinity,34.52471166
SPRING,Phosphate,0.12
SPRING,Silicate,3.56
SPRING,NN,0.25
SPRING,pH,7.944
SPRING,TA,2284.136728
SPRING,percent_sgd,0.45994832
SPRING,Temp_in,23.6523039
SPRING,Salinity,34.5128454
SPRING,Phosphate,0.09
SPRING,Silicate,3.83
SPRING,NN,0.18
SPRING,pH,7.901
SPRING,TA,2305.157053
SPRING,percent_sgd,0.494832041
SPRING,Temp_in,23.96962105
SPRING,Salinity,34.59327226
SPRING,Phosphate,0.11
SPRING,Silicate,2
SPRING,NN,0.2
SPRING,pH,7.942
SPRING,TA,2238.72427
SPRING,percent_sgd,0.258397933
SPRING,Temp_in,23.90270436
SPRING,Salinity,34.60250158
SPRING,Phosphate,0.11
SPRING,Silicate,1.79
SPRING,NN,0.2
SPRING,pH,7.924
SPRING,TA,2288.673354
SPRING,percent_sgd,0.23126615
SPRING,Temp_in,23.72369608
SPRING,Salinity,34.60382005
SPRING,Phosphate,0.11
SPRING,Silicate,1.76
SPRING,NN,0.2
SPRING,pH,7.945
SPRING,TA,2268.841999
SPRING,percent_sgd,0.227390181
SPRING,Temp_in,23.6971628
SPRING,Salinity,34.60008438
SPRING,Temp_in,23.91871166
SPRING,Salinity,34.5963487
SPRING,Phosphate,0.12
SPRING,Silicate,1.93
SPRING,NN,0.15
SPRING,pH,7.95
SPRING,TA,2275.456662
SPRING,percent_sgd,0.249354005
SPRING,Temp_in,24.04954757
SPRING,Salinity,34.60865445
SPRING,Phosphate,0.11
SPRING,Silicate,1.65
SPRING,NN,0.17
SPRING,pH,7.947
SPRING,TA,2259.753937
SPRING,percent_sgd,0.213178295
SPRING,Temp_in,24.28645788
SPRING,Salinity,34.61348885
SPRING,Phosphate,0.11
SPRING,Silicate,1.54
SPRING,NN,0.13
SPRING,pH,7.945
SPRING,TA,2258.364848
SPRING,percent_sgd,0.198966408
SPRING,Temp_in,24.52336819
SPRING,Salinity,34.60557801
SPRING,Phosphate,0.11
SPRING,Silicate,1.72
SPRING,NN,0.11
SPRING,pH,7.934
SPRING,TA,2295.329722
SPRING,percent_sgd,0.222222222
SPRING,Salinity,33.93887005
SPRING,Phosphate,0.17
SPRING,Silicate,16.89
SPRING,NN,1.25
SPRING,pH,8.318
SPRING,TA,2273.073417
SPRING,percent_sgd,2.182170543
SPRING,Temp_in,24.12984958
SPRING,Salinity,34.61041242
SPRING,Phosphate,0.13
SPRING,Silicate,1.61
SPRING,NN,0.1
SPRING,pH,7.955
SPRING,TA,2258.053746
SPRING,percent_sgd,0.208010336
SPRING,Temp_in,24.12984958
SPRING,Salinity,34.58448244
SPRING,Phosphate,0.17
SPRING,Silicate,2.2
SPRING,NN,0.08
SPRING,pH,7.995
SPRING,TA,2270.824438
SPRING,percent_sgd,0.284237726
SPRING,pH,8.354
SPRING,TA,2265.254898
SPRING,TA,1746.708355
FALL,Temp_in,25.46666036
FALL,Salinity,32.33384864
FALL,Phosphate,0.19
FALL,Silicate,53.41
FALL,NN,1.02
FALL,pH,8.094
FALL,TA,2219.095298
FALL,percent_sgd,6.900516796
FALL,Temp_in,24.83646091
FALL,Salinity,29.68899134
FALL,Phosphate,0.38
FALL,Silicate,113.59
FALL,NN,5.83
FALL,pH,8.096
FALL,TA,2180.930839
FALL,percent_sgd,14.67571059
FALL,Temp_in,25.26714707
FALL,Salinity,31.27467514
FALL,Phosphate,0.27
FALL,Silicate,77.51
FALL,NN,2.45
FALL,pH,8.192
FALL,TA,2199.619975
FALL,percent_sgd,10.01421189
FALL,Temp_in,25.90683954
FALL,Salinity,34.25750108
FALL,Phosphate,0.08
FALL,Silicate,9.64
FALL,NN,0.27
FALL,pH,8.149
FALL,TA,2245.963283
FALL,percent_sgd,1.245478036
FALL,Temp_in,25.21517828
FALL,Salinity,32.71840333
FALL,Phosphate,0.19
FALL,Silicate,44.66
FALL,NN,1.33
FALL,pH,8.083
FALL,TA,2212.273427
FALL,percent_sgd,5.77002584
FALL,Temp_in,25.82009286
FALL,Salinity,34.21926536
FALL,Phosphate,0.09
FALL,Silicate,10.51
FALL,NN,0.29
FALL,pH,8.109
FALL,TA,2244.687113
FALL,percent_sgd,1.357881137
FALL,Temp_in,25.76804737
FALL,Salinity,34.49526575
FALL,Phosphate,0.07
FALL,Silicate,4.23
FALL,NN,0.21
FALL,pH,8.088
FALL,TA,2256.437492
FALL,percent_sgd,0.546511628
FALL,Temp_in,25.83356331
FALL,Salinity,34.50361608
FALL,Phosphate,0.06
FALL,Silicate,4.04
FALL,NN,0.17
FALL,pH,8.077
FALL,TA,2247.179605
FALL,percent_sgd,0.521963824
FALL,Temp_in,26.78995211
FALL,Salinity,34.49746321
FALL,Phosphate,0.05
FALL,Silicate,4.18
FALL,NN,0.17
FALL,pH,8.03
FALL,TA,2242.012856
FALL,percent_sgd,0.54005168
FALL,Temp_in,26.08314479
FALL,Salinity,34.54976265
FALL,Phosphate,0.04
FALL,Silicate,2.99
FALL,NN,0.25
FALL,pH,8.072
FALL,TA,2240.889093
FALL,percent_sgd,0.38630491
FALL,Temp_in,25.95708185
FALL,Salinity,34.57569262
FALL,Phosphate,0.06
FALL,Silicate,2.4
FALL,NN,0.14
FALL,pH,8.042
FALL,TA,2239.283896
FALL,percent_sgd,0.310077519
FALL,Temp_in,25.89532258
FALL,Salinity,34.57832957
FALL,Phosphate,0.1
FALL,Silicate,2.34
FALL,NN,0.18
FALL,pH,8.048
FALL,TA,2254.849699
FALL,percent_sgd,0.302325581
FALL,Temp_in,26.48281306
FALL,Salinity,34.60953343
FALL,Phosphate,0.07
FALL,Silicate,1.63
FALL,NN,0.13
FALL,pH,8.091
FALL,TA,2266.405711
FALL,percent_sgd,0.210594315
FALL,Temp_in,26.1885656
FALL,Salinity,34.58843786
FALL,Phosphate,0.08
FALL,Silicate,2.11
FALL,NN,0.17
FALL,pH,8.086
FALL,TA,2249.929778
FALL,percent_sgd,0.272609819
FALL,Temp_in,25.90139646
FALL,Salinity,34.58536142
FALL,Phosphate,0.09
FALL,Silicate,2.18
FALL,NN,0.13
FALL,pH,8.077
FALL,TA,2268.266354
FALL,percent_sgd,0.281653747
FALL,Temp_in,25.91379523
FALL,Salinity,34.59195379
FALL,Phosphate,0.06
FALL,Silicate,2.03
FALL,NN,0.1
FALL,pH,8.023
FALL,TA,2273.234331
FALL,percent_sgd,0.262273902
FALL,Temp_in,26.7705343
FALL,Salinity,34.60294107
FALL,Phosphate,0.09
FALL,Silicate,1.78
FALL,NN,0.13
FALL,pH,8.169
FALL,TA,2238.606606
FALL,percent_sgd,0.22997416
FALL,Temp_in,26.93993178
FALL,Salinity,34.61788376
FALL,Phosphate,0.1
FALL,Silicate,1.44
FALL,NN,0.11
FALL,pH,8.139
FALL,TA,2243.843064
FALL,percent_sgd,0.186046512
FALL,Temp_in,27.40983169
FALL,Salinity,34.59766717
FALL,Phosphate,0.1
FALL,Silicate,1.9
FALL,NN,0.1
FALL,pH,8.113
FALL,TA,2246.937582
FALL,percent_sgd,0.245478036
FALL,Temp_in,27.8797316
FALL,Salinity,34.59766717
FALL,Phosphate,0.1
FALL,Silicate,1.9
FALL,NN,0.1
FALL,pH,8.045
FALL,TA,2263.827588
FALL,percent_sgd,0.245478036
FALL,Salinity,22.88874591
FALL,Phosphate,0.87
FALL,Silicate,268.32
FALL,NN,17.4
FALL,pH,8.46
FALL,TA,2015.08101
FALL,percent_sgd,34.66666667
FALL,pH,8.321
FALL,TA,2254.097238
FALL,Temp_in,27.12962167
FALL,Salinity,34.4882339
FALL,Phosphate,0.09
FALL,Silicate,4.39
FALL,NN,0.22
FALL,pH,8.078
FALL,TA,2245.104438
FALL,percent_sgd,0.567183463
FALL,Temp_in,26.89176305
